metric,metric_desc
454,node_network_transmit_packets_total,Network device statistic transmit_packets.
458,node_network_transmit_queue_length,transmit_queue_length value of /sys/class/net/<iface>.
462,node_network_up,"Value is 1 if operstate is 'up', 0 otherwise."
466,node_power_supply_info,info of /sys/class/power_supply/<power_supply>.
467,node_power_supply_online,online value of /sys/class/power_supply/<power_supply>.
468,node_procs_blocked,Number of processes blocked waiting for I/O to complete.
469,node_procs_running,Number of processes in runnable state.
470,node_schedstat_running_seconds_total,Number of seconds CPU spent running a process.
478,node_schedstat_timeslices_total,Number of timeslices executed by CPU.
486,node_schedstat_waiting_seconds_total,Number of seconds spent by processing waiting for this CPU.
494,node_scrape_collector_duration_seconds,node_exporter: Duration of a collector scrape.
536,node_scrape_collector_success,node_exporter: Whether a collector succeeded.
578,node_sockstat_FRAG6_inuse,Number of FRAG6 sockets in state inuse.
579,node_sockstat_FRAG6_memory,Number of FRAG6 sockets in state memory.
580,node_sockstat_FRAG_inuse,Number of FRAG sockets in state inuse.
581,node_sockstat_FRAG_memory,Number of FRAG sockets in state memory.
582,node_sockstat_RAW6_inuse,Number of RAW6 sockets in state inuse.
583,node_sockstat_RAW_inuse,Number of RAW sockets in state inuse.
584,node_sockstat_TCP6_inuse,Number of TCP6 sockets in state inuse.
585,node_sockstat_TCP_alloc,Number of TCP sockets in state alloc.
586,node_sockstat_TCP_inuse,Number of TCP sockets in state inuse.
587,node_sockstat_TCP_mem,Number of TCP sockets in state mem.
588,node_sockstat_TCP_mem_bytes,Number of TCP sockets in state mem_bytes.
589,node_sockstat_TCP_orphan,Number of TCP sockets in state orphan.
590,node_sockstat_TCP_tw,Number of TCP sockets in state tw.
591,node_sockstat_UDP6_inuse,Number of UDP6 sockets in state inuse.
592,node_sockstat_UDPLITE6_inuse,Number of UDPLITE6 sockets in state inuse.
593,node_sockstat_UDPLITE_inuse,Number of UDPLITE sockets in state inuse.
594,node_sockstat_UDP_inuse,Number of UDP sockets in state inuse.
595,node_sockstat_UDP_mem,Number of UDP sockets in state mem.
596,node_sockstat_UDP_mem_bytes,Number of UDP sockets in state mem_bytes.
597,node_sockstat_sockets_used,Number of IPv4 sockets in use.
598,node_softnet_dropped_total,Number of dropped packets
606,node_softnet_processed_total,Number of processed packets
614,node_softnet_times_squeezed_total,Number of times processing packets ran out of quota
622,node_textfile_scrape_error,"1 if there was an error opening or reading a file, 0 otherwise"
623,node_time_seconds,System time in seconds since epoch (1970).
624,node_time_zone_offset_seconds,System time zone offset in seconds.
625,node_timex_estimated_error_seconds,Estimated error in seconds.
626,node_timex_frequency_adjustment_ratio,Local clock frequency adjustment.
627,node_timex_loop_time_constant,Phase-locked loop time constant.
628,node_timex_maxerror_seconds,Maximum error in seconds.
629,node_timex_offset_seconds,Time offset in between local system and reference clock.
630,node_timex_pps_calibration_total,Pulse per second count of calibration intervals.
631,node_timex_pps_error_total,Pulse per second count of calibration errors.
632,node_timex_pps_frequency_hertz,Pulse per second frequency.
633,node_timex_pps_jitter_seconds,Pulse per second jitter.
634,node_timex_pps_jitter_total,Pulse per second count of jitter limit exceeded events.
635,node_timex_pps_shift_seconds,Pulse per second interval duration.
636,node_timex_pps_stability_exceeded_total,Pulse per second count of stability limit exceeded events.
637,node_timex_pps_stability_hertz,"Pulse per second stability, average of recent frequency changes."
638,node_timex_status,Value of the status array bits.
639,node_timex_sync_status,"Is clock synchronized to a reliable server (1 = yes, 0 = no)."
640,node_timex_tai_offset_seconds,International Atomic Time (TAI) offset.
641,node_timex_tick_seconds,Seconds between clock ticks.
642,node_udp_queues,Number of allocated memory in the kernel for UDP datagrams in bytes.
646,node_uname_info,Labeled system information as provided by the uname system call.
647,node_vmstat_pgfault,/proc/vmstat information field pgfault.
648,node_vmstat_pgmajfault,/proc/vmstat information field pgmajfault.
649,node_vmstat_pgpgin,/proc/vmstat information field pgpgin.
650,node_vmstat_pgpgout,/proc/vmstat information field pgpgout.
651,node_vmstat_pswpin,/proc/vmstat information field pswpin.
652,node_vmstat_pswpout,/proc/vmstat information field pswpout.
653,node_xfs_allocation_btree_compares_total,Number of allocation B-tree compares for a filesystem.
656,node_xfs_allocation_btree_lookups_total,Number of allocation B-tree lookups for a filesystem.
659,node_xfs_allocation_btree_records_deleted_total,Number of allocation B-tree records deleted for a filesystem.
662,node_xfs_allocation_btree_records_inserted_total,Number of allocation B-tree records inserted for a filesystem.
665,node_xfs_block_map_btree_compares_total,Number of block map B-tree compares for a filesystem.
668,node_xfs_block_map_btree_lookups_total,Number of block map B-tree lookups for a filesystem.
671,node_xfs_block_map_btree_records_deleted_total,Number of block map B-tree records deleted for a filesystem.
674,node_xfs_block_map_btree_records_inserted_total,Number of block map B-tree records inserted for a filesystem.
677,node_xfs_block_mapping_extent_list_compares_total,Number of extent list compares for a filesystem.
680,node_xfs_block_mapping_extent_list_deletions_total,Number of extent list deletions for a filesystem.
683,node_xfs_block_mapping_extent_list_insertions_total,Number of extent list insertions for a filesystem.
686,node_xfs_block_mapping_extent_list_lookups_total,Number of extent list lookups for a filesystem.
689,node_xfs_block_mapping_reads_total,Number of block map for read operations for a filesystem.
692,node_xfs_block_mapping_unmaps_total,Number of block unmaps (deletes) for a filesystem.
695,node_xfs_block_mapping_writes_total,Number of block map for write operations for a filesystem.
698,node_xfs_directory_operation_create_total,Number of times a new directory entry was created for a filesystem.
701,node_xfs_directory_operation_getdents_total,Number of times the directory getdents operation was performed for a filesystem.
704,node_xfs_directory_operation_lookup_total,Number of file name directory lookups which miss the operating systems directory name lookup cache.
707,node_xfs_directory_operation_remove_total,Number of times an existing directory entry was created for a filesystem.
710,node_xfs_extent_allocation_blocks_allocated_total,Number of blocks allocated for a filesystem.
713,node_xfs_extent_allocation_blocks_freed_total,Number of blocks freed for a filesystem.
716,node_xfs_extent_allocation_extents_allocated_total,Number of extents allocated for a filesystem.
719,node_xfs_extent_allocation_extents_freed_total,Number of extents freed for a filesystem.
722,node_xfs_inode_operation_attempts_total,Number of times the OS looked for an XFS inode in the inode cache.
725,node_xfs_inode_operation_attribute_changes_total,Number of times the OS explicitly changed the attributes of an XFS inode.
728,node_xfs_inode_operation_duplicates_total,"Number of times the OS tried to add a missing XFS inode to the inode cache, but found it had already been added by another process."
731,node_xfs_inode_operation_found_total,Number of times the OS looked for and found an XFS inode in the inode cache.
734,node_xfs_inode_operation_missed_total,"Number of times the OS looked for an XFS inode in the cache, but did not find it."
737,node_xfs_inode_operation_reclaims_total,Number of times the OS reclaimed an XFS inode from the inode cache to free memory for another purpose.
740,node_xfs_inode_operation_recycled_total,"Number of times the OS found an XFS inode in the cache, but could not use it as it was being recycled."
743,node_xfs_read_calls_total,Number of read(2) system calls made to files in a filesystem.
746,node_xfs_vnode_active_total,Number of vnodes not on free lists for a filesystem.
749,node_xfs_vnode_allocate_total,Number of times vn_alloc called for a filesystem.
752,node_xfs_vnode_get_total,Number of times vn_get called for a filesystem.
755,node_xfs_vnode_hold_total,Number of times vn_hold called for a filesystem.
758,node_xfs_vnode_reclaim_total,Number of times vn_reclaim called for a filesystem.
761,node_xfs_vnode_release_total,Number of times vn_rele called for a filesystem.
764,node_xfs_vnode_remove_total,Number of times vn_remove called for a filesystem.
767,node_xfs_write_calls_total,Number of write(2) system calls made to files in a filesystem.
770,process_max_fds,Maximum number of open file descriptors.
771,process_open_fds,Number of open file descriptors.
772,process_virtual_memory_max_bytes,Maximum amount of virtual memory available in bytes.
773,promhttp_metric_handler_errors_total,Total number of internal errors encountered by the promhttp metric handler.
775,promhttp_metric_handler_requests_in_flight,Current number of scrapes being served.
776,promhttp_metric_handler_requests_total,Total number of scrapes by HTTP status code.
